Titulo,Score,Membros,Generos,Episodios,Estudios
Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,N/A,2.0K,"Comedy, Slice of Life","? eps, 2 min",N/A
,,,,N/A,
Shiawase Haitatsu Taneko,N/A,1.6K,Comedy,"? eps, 0 min",Kachidoki Studio
,,,,N/A,N/A
Himitsu no AiPri: Ring-hen,6.57,1.5K,,"? eps, 24 min",N/A
Araiguma Calcal-dan,5.93,1.4K,Comedy,"? eps, 2 min",Nippon Animation
,,,,N/A,N/A
Manul no Yuube,N/A,1.0K,Slice of Life,"? eps, 1 min",N/A
Kaijuu Sekai Seifuku (TV),N/A,927,Slice of Life,"? eps, 2 min",DLE
Shin Nippon History,N/A,805,Comedy,"? eps, 23 min",N/A
,,,,N/A,
,,,,N/A,N/A
,,,,N/A,
Nmeneko,N/A,581,Comedy,"? eps, 1 min",Kumarba
Youkoso Ninchishou Sekai e,N/A,430,"Adventure, Slice of Life","? eps, 5 min",N/A
,,,,N/A,
Shuwawan!,N/A,423,Slice of Life,"? eps, 5 min",KOO-KI
Pochars,N/A,421,Comedy,"? eps, 1 min",DLE
,,,,N/A,
Minimini Minini,N/A,337,Comedy,"? eps, 4 min",Million Volt
Warau Red List,N/A,331,Comedy,"? eps, 5 min",N/A
,,,,N/A,
,,,,N/A,
,,,,N/A,
,,,,N/A,
,,,,N/A,
,,,,N/A,N/A
,,,,N/A,N/A
,,,,N/A,N/A
,,,,N/A,N/A
,,,,N/A,N/A
,,,,N/A,N/A
Takopii no Genzai,8.94,106K,"Drama, Sci-Fi","6 eps, 23 min",Enishiya
Guimi Zhi Zhu: Xiaochou Pian,8.53,93K,"Action, Fantasy, Mystery, Suspense","13 eps, 35 min",B.CMAY PICTURES
,,,,N/A,
Bullet/Bullet,6.27,7.5K,Sci-Fi,"12 eps, 25 min",E&H Production
Leviathan,6.91,7.4K,"Adventure, Sci-Fi","12 eps, 24 min",Orange
Long Zu II: Daowangzhe Zhi Tong,7.32,5.8K,"Adventure, Fantasy","24 eps, 24 min",GARDEN Culture
Cat's♥Eye,N/A,5.1K,"Action, Adventure, Comedy, Mystery, Romance","? eps, 0 min",LIDENFILMS
Pokemon Concierge Part 2,N/A,4.5K,Fantasy,"4 eps, 0 min",dwarf
Tong Ling Fei 2nd Season,N/A,3.8K,"Comedy, Drama, Romance","24 eps, 15 min",Shengying Animation
My Melody & Kuromi,N/A,1.8K,Fantasy,"? eps, 13 min",Wit Studio
,,,,N/A,
Bai Yao Pu 5th Season,N/A,957,"Adventure, Mystery, Supernatural","12 eps, 20 min",CMC Media
Sugar Sugar Rune: Les deux sorcières,6.83,931,,N/A,N/A
Cang Lan Jue 2,N/A,800,"Action, Fantasy, Romance","26 eps, 22 min",N/A
Douluo Dalu: Jiandao Chen Xin,N/A,732,"Action, Adventure, Fantasy",N/A,Sparkly Key Animation Studio
Ye de Mingming Shu,N/A,536,"Action, Adventure, Mystery, Sci-Fi","12 eps, 20 min",Chosen
Yun Shen Buzhi Meng,N/A,472,Fantasy,"26 eps, 22 min",Yien Animation Studio
Yao Shen Ji 9th Season,N/A,430,"Action, Adventure, Comedy, Fantasy, Romance","52 eps, 8 min",N/A
Kaiju Ditan Mai Dali,N/A,366,"Action, Comedy, Fantasy","24 eps, 15 min",N/A
Xin Yichang Shengwu Jianwen Lu: Xu,N/A,245,Sci-Fi,"7 eps, 10 min",N/A
Ling Tian Du Zun,N/A,190,"Action, Adventure, Fantasy","? eps, 10 min",N/A
Wo Wei Dao Zong,N/A,188,"Action, Fantasy","16 eps, 20 min",N/A
Fei Ren Zai 3rd Season,N/A,141,"Comedy, Supernatural","12 eps, 7 min",N/A
Idobata Kaigi de New Saga,N/A,110,"Comedy, Fantasy","? eps, 1 min",AQUA ARIS
Tsuihou Shiromadoushi Mini Anime,N/A,106,"Comedy, Fantasy","? eps, 1 min",AQUA ARIS
Obusu ni Hanataba wo,N/A,98,"Comedy, Romance","? eps, 1 min",N/A
Zhege Nianji Huan Neng Dang Daxia Ma 2nd Season,N/A,78,Comedy,"? eps, 0 min",N/A
Azarashi no Eru Aru,N/A,77,Slice of Life,"? eps, 1 min",Studio Artegg
,,,,N/A,N/A
,,,,N/A,N/A
Honda Bike x Kuromi,N/A,38,"Fantasy, Slice of Life","6 eps, 1 min",N/A
Nyan Dere,N/A,27,Slice of Life,"? eps, 0 min",animate Film
,,,,N/A,
,,,,N/A,
,,,,N/A,
,,,,N/A,
,,,,N/A,N/A
,,,,N/A,
,,,,N/A,
,,,,N/A,
,,,,N/A,N/A
,,,,N/A,
Kimetsu no Yaiba Movie: Mugen Jou-hen,7.92,161K,"Action, Supernatural","3 eps, 155 min",ufotable
Chainsaw Man Movie: Reze-hen,N/A,135K,"Action, Fantasy",N/A,MAPPA
Bâan: Otona no Kyoukai,N/A,6.9K,Fantasy,N/A,Studio Daisy
Hyakuemu.,N/A,6.3K,"Drama, Sports",N/A,Rock'n Roll Mountain
Summer Pockets Movie,N/A,3.7K,Romance,"? eps, 0 min",N/A
Fushigi no Kuni de Alice to: Dive in Wonderland,N/A,3.3K,Fantasy,N/A,P.A. Works
ChaO,N/A,2.4K,"Fantasy, Romance",N/A,Studio 4°C
Luo Xiao Hei Zhan Ji 2,N/A,1.6K,"Adventure, Drama, Fantasy",N/A,N/A
Tooi-san wa Seishun Shitai! Baka to Smartphone to Romance to,N/A,1.2K,Comedy,N/A,Seven Arcs
Kimi to Idol Precure♪ Movie: Omatase! Kimi ni Todokeru Kirakki Live!,N/A,1.1K,Action,N/A,N/A
Odekake Kozame Movie: Tokai no Otomodachi,N/A,897,Slice of Life,N/A,ENGI
As One,N/A,888,"Action, Sci-Fi",N/A,N/A
Crayon Shin-chan Movie 33: Chou Karei! Shakunetsu no Kasukabe Dancers,N/A,794,"Adventure, Comedy",N/A,Shin-Ei Animation
Ahobsan Sup: Gisaenghon,N/A,631,"Fantasy, Horror, Suspense",N/A,N/A
Tamala 2030: A Punk Cat in Dark,N/A,526,"Avant Garde, Sci-Fi",N/A,N/A
Lang Lang Shan Xiao Yaoguai,N/A,337,Fantasy,N/A,N/A
Liaozhai: Lanre Si,N/A,172,"Adventure, Fantasy",N/A,Light Chaser Animation Studios
,,,,N/A,N/A
Kamitsubaki-shi Kensetsuchuu.: Witchling - Zenpen,6.15,1.8K,,N/A,Shogakukan Music & Digital Entertainment
Future Kid Takara,N/A,774,Drama,"11 eps, 0 min",Studio 4°C
